document	inn	ogrn	snils	passport	bank_account	kpp	bik	bank_name	org_name	person	address	phone	email	contract_number	money	date	site	contract_amount	payment_terms	delivery_period	federal_law	total
arkhschool-68-183.pdf	6	2	0	0	2	2	1	6	6	10	2	0	2	1	21	36	1	0	0	2	2	102
bashkirschool-usak-kichu2-4149.pdf	4	2	0	0	2	2	1	5	3	8	2	0	2	1	15	28	1	0	1	2	2	81
brsc-contract.pdf	3	0	0	0	2	3	3	2	2	38	1	2	4	0	5	30	0	1	0	1	8	105
dagestanschool-kais-808.pdf	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	6
eat-100034721124100074.pdf	2	0	0	0	5	2	2	3	1	5	1	0	2	0	1	16	0	0	0	1	2	43
eat-100048193126100005.pdf	2	0	0	0	4	2	2	4	0	1	2	1	2	1	1	8	0	0	0	0	2	32
eat-100252477125100140.pdf	2	0	0	0	4	2	2	2	2	1	0	2	2	0	1	11	0	0	0	1	1	33
eat-200909332125100123.pdf	2	0	0	0	3	1	1	2	1	1	0	2	1	0	1	8	0	0	0	0	1	24
eat-654000009321.pdf	12	2	0	0	3	3	1	4	91	27	27	0	1	1	9	45	4	1	1	2	4	238
eat-current-repair-2025.pdf	2	0	0	0	4	1	2	2	0	1	0	1	2	0	1	6	0	0	0	0	1	23
eat-signed-2025-01.pdf	2	0	0	0	4	2	2	4	1	9	0	0	2	0	3	16	0	0	0	0	1	46
edukirovsk-2018-659372.pdf	3	1	0	0	4	3	3	5	5	22	8	0	0	1	8	34	0	1	0	4	8	110
edusite-kozino-supply.pdf	4	0	0	0	8	0	4	6	0	12	0	0	1	1	2	7	0	0	2	3	1	51
hse-2013-contract-157.pdf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ipklh-2022-01-11.pdf	2	2	0	0	3	0	1	4	11	12	0	0	2	1	10	65	3	1	0	0	2	119
permschool-frol-7296.pdf	14	14	0	0	28	0	7	16	1	33	0	14	7	0	8	67	0	0	0	2	8	219
tvoysadik-18ber-8324.pdf	14	6	0	0	9	3	3	9	40	14	0	0	3	1	1	137	0	1	0	1	4	246
tvoysadik-488-3752.pdf	4	3	0	0	4	2	1	3	5	25	6	0	4	0	6	18	9	1	0	3	3	97
uralschool-licey21-3930.pdf	6	2	0	0	2	2	1	6	6	10	2	0	2	1	21	36	1	0	0	2	2	102
uralschool-revdasoch22-194.pdf	4	2	0	0	2	2	1	5	4	10	2	0	2	1	15	35	1	0	0	2	3	91
uralschool-sl-skosh-195.pdf	4	2	0	0	2	2	1	5	3	8	2	0	2	1	15	28	1	0	1	2	2	81
