file	law	contract_type	source_page	download_url
arkhschool-68-183.pdf	44-FZ	services: public Internet access	https://68.arkhschool.ru/file/card?id=183	https://68.arkhschool.ru/file/download?id=183
bashkirschool-usak-kichu2-4149.pdf	44-FZ	services: public Internet access	https://usak-kichu2.bashkirschool.ru/file/card?id=4149	https://usak-kichu2.bashkirschool.ru/file/download?id=4149
brsc-contract.pdf	44-FZ	services: public-information system	https://www.brsc.ru/Content/f/6/8/68025DCBBBADBAED6096C5B83BBDC350784A4FD0F6A523FC1FD5F25A049839CA.pdf	https://www.brsc.ru/Content/f/6/8/68025DCBBBADBAED6096C5B83BBDC350784A4FD0F6A523FC1FD5F25A049839CA.pdf
dagestanschool-kais-808.pdf	unspecified	services: telecommunications	https://kais.dagestanschool.ru/file/card?id=808	https://kais.dagestanschool.ru/file/download?id=808
eat-100034721124100074.pdf	44-FZ	services: telecommunications	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/1e896076-e957-4f6d-ac19-997b624bfc33/14/22f81341-e4f9-4c74-9657-cdc7c0406380	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/1e896076-e957-4f6d-ac19-997b624bfc33/14/22f81341-e4f9-4c74-9657-cdc7c0406380
eat-100048193126100005.pdf	44-FZ	services: server capacity and administration	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/e7854e40-d882-41f3-9bcd-983b2296745b/14/99cbee6a-85bd-4fb4-bb37-2f79adb4ea94	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/e7854e40-d882-41f3-9bcd-983b2296745b/14/99cbee6a-85bd-4fb4-bb37-2f79adb4ea94
eat-100252477125100140.pdf	44-FZ	supply: construction consumables	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/33f4282f-5999-4dcc-b0a9-42b2cc356929/14/ce1b94c3-c4f4-4b00-8c8c-38d3f718399f	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/33f4282f-5999-4dcc-b0a9-42b2cc356929/14/ce1b94c3-c4f4-4b00-8c8c-38d3f718399f
eat-200909332125100123.pdf	44-FZ	supply	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/79b14d79-844f-425b-97b0-e560d415f9a2/14/d9d32ffe-00b4-490a-80ef-4347da143377	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/79b14d79-844f-425b-97b0-e560d415f9a2/14/d9d32ffe-00b4-490a-80ef-4347da143377
eat-654000009321.pdf	44-FZ	services: telecommunications	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/bc14e894-ace3-41b0-927c-1e833c8b8400/15/7c828759-f501-47e0-86ac-3b81b6ffbd50	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/bc14e894-ace3-41b0-927c-1e833c8b8400/15/7c828759-f501-47e0-86ac-3b81b6ffbd50
eat-current-repair-2025.pdf	44-FZ	works: current repair	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/dcdf4413-52a5-4130-bead-af66673f217f/14/a888ed4e-0e71-45ab-9ee8-6dd43d56bee7	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/dcdf4413-52a5-4130-bead-af66673f217f/14/a888ed4e-0e71-45ab-9ee8-6dd43d56bee7
eat-signed-2025-01.pdf	44-FZ	supply	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/7e876dff-c742-40ff-bcb1-217f5ce42b36/14/7c1c5181-4619-418a-ae26-c1cfda38c752	https://agregatoreat.ru/integration/ecom/rest/api/file/1/300916501/7e876dff-c742-40ff-bcb1-217f5ce42b36/14/7c1c5181-4619-418a-ae26-c1cfda38c752
edukirovsk-2018-659372.pdf	44-FZ	services: public Internet access	https://edukirovsk.ru/wp-content/uploads/2019/10/gk_2018.659372_2019.pdf	https://edukirovsk.ru/wp-content/uploads/2019/10/gk_2018.659372_2019.pdf
edusite-kozino-supply.pdf	44-FZ	supply: goods	https://xn--g1aceocd.edusite.ru/sveden/files/7203ea79ee5995fe3bfa4279dbaab9d7.pdf	https://xn--g1aceocd.edusite.ru/sveden/files/7203ea79ee5995fe3bfa4279dbaab9d7.pdf
hse-2013-contract-157.pdf	unspecified	state contract	https://busedu.hse.ru/data/2016/02/02/1136695496/%D0%93%D0%BE%D1%81.%20%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%B0%D0%BA%D1%82%20%E2%84%96%20157%20%D0%BE%D1%82%2002.09.2013.pdf	https://busedu.hse.ru/data/2016/02/02/1136695496/%D0%93%D0%BE%D1%81.%20%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%B0%D0%BA%D1%82%20%E2%84%96%20157%20%D0%BE%D1%82%2002.09.2013.pdf
ipklh-2022-01-11.pdf	223-FZ	supply: office paper	https://www.ipklh.ru/sites/default/files/re_zac/GPD20220111bum.pdf	https://www.ipklh.ru/sites/default/files/re_zac/GPD20220111bum.pdf
permschool-frol-7296.pdf	223-FZ	supply: catering products	https://frol.permschool.ru/file/card?id=7296	https://frol.permschool.ru/file/download?id=7296
tvoysadik-18ber-8324.pdf	223-FZ	services: catering	https://18ber.tvoysadik.ru/file/card?id=8324	https://18ber.tvoysadik.ru/file/download?id=8324
